Unnamed: 0,Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Location,Performance_Rating,Experience_Years,Status,Work_Mode,Salary_INR,Job_Level
0,EMP0000001,Joshua Nguyen,IT,Software Engineer,2011-08-10T00:00:00.000Z,"Isaacland, Denmark",5.0,14.0,Resigned,On-site,1585363.0,Principal
1,EMP0000002,Julie Williams,Marketing,SEO Specialist,2018-03-02T00:00:00.000Z,"Anthonyside, Costa Rica",2.0,7.0,Active,On-site,847686.0,Analyst
2,EMP0000003,Alyssa Martinez,HR,HR Manager,2023-03-20T00:00:00.000Z,"Port Christinaport, Saudi Arabia",1.0,2.0,Active,On-site,1430084.0,Specialist
3,EMP0000004,Nicholas Valdez,IT,Software Engineer,2023-10-12T00:00:00.000Z,"Port Shelbychester, Antigua and Barbuda",1.0,1.0,Active,On-site,990689.0,Specialist
4,EMP0000005,Joel Hendricks,Operations,Logistics Coordinator,2024-12-09T00:00:00.000Z,"Lake Kimberly, Palestinian Territory",5.0,0.0,Active,On-site,535082.0,Specialist
5,EMP0000006,Jason Gardner,Operations,Logistics Coordinator,2021-02-23T00:00:00.000Z,"Zimmermanstad, Bulgaria",5.0,4.0,Active,On-site,641393.0,Analyst
6,EMP0000007,Julie Wright,Finance,Finance Manager,2016-04-04T00:00:00.000Z,"Karenfort, South Africa",2.0,9.0,Active,On-site,1383891.0,Manager
7,EMP0000008,Scott Wilson,Sales,Account Manager,2020-04-04T00:00:00.000Z,"Moniqueview, British Virgin Islands",2.0,5.0,Active,Remote,423091.0,Analyst
8,EMP0000009,Cathy Thompson,Finance,Financial Analyst,2018-05-29T00:00:00.000Z,"South Catherine, Belize",4.0,7.0,Resigned,Remote,1138452.0,Analyst
9,EMP0000010,Maria Yu MD,IT,Software Engineer,2015-10-08T00:00:00.000Z,"Brownport, Yemen",4.0,9.0,Active,Remote,1543102.0,Manager
10,EMP0000011,Jordan Haynes,Sales,Sales Executive,2018-10-27T00:00:00.000Z,"Lake Katherineland, Gambia",1.0,6.0,Active,On-site,617992.0,Analyst
11,EMP0000012,Kevin Lowe,Sales,Account Manager,2024-07-02T00:00:00.000Z,"East Kent, Qatar",3.0,1.0,Resigned,On-site,1111759.0,Specialist
12,EMP0000013,Glen Miller,Operations,Operations Executive,2011-05-03T00:00:00.000Z,"Coreybury, Libyan Arab Jamahiriya",3.0,14.0,Active,On-site,512635.0,Principal
13,EMP0000014,Roberto Nguyen,HR,HR Executive,2020-08-24T00:00:00.000Z,"South Sandraview, India",4.0,4.0,Active,On-site,572479.0,Analyst
14,EMP0000015,Megan Hernandez,Sales,Account Manager,2016-01-14T00:00:00.000Z,"New Royberg, Thailand",5.0,9.0,Active,Remote,1158764.0,Manager
15,EMP0000016,Julie Marshall,Marketing,SEO Specialist,2021-07-19T00:00:00.000Z,"Port Phillip, Poland",5.0,4.0,Active,On-site,602022.0,Analyst
16,EMP0000017,Robert Martin,Operations,Logistics Coordinator,2025-05-13T00:00:00.000Z,"Laurahaven, Afghanistan",3.0,0.0,Resigned,On-site,859025.0,Specialist
17,EMP0000018,Mark Rodriguez,Sales,Sales Director,2016-09-17T00:00:00.000Z,"Maryshire, Botswana",3.0,8.0,Active,Remote,508563.0,Executive
18,EMP0000019,Samuel Ferguson,IT,DevOps Engineer,2025-04-05T00:00:00.000Z,"Matthewsville, Ghana",2.0,0.0,Active,On-site,631273.0,Specialist
